Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
"Prevalence, antimicrobial susceptibility and risk factors associated with non-typhoidal Salmonella on Ugandan layer hen farms",,10.1186/s12917-017-1291-1,True,Prevalence_ antimicrobial susceptibility and risk factors associated with non-typhoidal Salmonella on Ugandan layer hen farms.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Terence Odoch and Yngvild Wasteson and Trine L'Ab{\'{e}}e-Lund and Adrian Muwonge and Clovice Kankya and Luke Nyakarahuka and Sarah Tegule and Eystein Skjerve
Non-typhoidal Salmonella serovars in poultry farms in central Ethiopia: prevalence and antimicrobial resistance,,10.1186/s12917-018-1539-4,True,Non-typhoidal Salmonella serovars in poultry farms in central Ethiopia_ prevalence and antimicrobial resistance.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,Tadesse Eguale
"Genotypic characterization and antimicrobial resistance profile of Salmonella isolated from chicken, pork and the environment at abattoirs and supermarkets in Chongqing, China",,10.1186/s12917-019-2202-4,True,,2019,,Springer Science and Business Media {LLC},False,,Tingting Chen and Jiali Jiang and Chao Ye and Jianhua Xie and Xia Chen and Dongyi Xu and Zheng Zeng and Yuanyi Peng and Dong-Liang Hu and Rendong Fang
"Molecular determination of antimicrobial resistance in Escherichia coli isolated from raw meat in Addis Ababa and Bishoftu, Ethiopia",,10.1186/s12941-017-0233-x,True,Molecular determination of antimicrobial resistance in Escherichia coli isolated from raw meat in Addis Ababa and Bishoftu_ Ethiopia.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Yohannes Equar Messele and Reta Duguma Abdi and Shimels Tikuye Yalew and Desiye Tesfaye Tegegne and Bezina Arega Emeru and Gebremeskel Mamu Werid
"Coagulase gene polymorphism, enterotoxigenecity, biofilm production, and antibiotic resistance in Staphylococcus aureus isolated from bovine raw milk in North West India",,10.1186/s12941-017-0242-9,True,Coagulase gene polymorphism_ enterotoxigenecity_ biofilm production_ and antibiotic resistance in Staphylococcus aureus isolated from bovine raw milk in North West India.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Vishnu Sharma and Sanjita Sharma and Dinesh Kumar Dahiya and Aarif Khan and Manisha Mathur and Aayushi Sharma
"Non-Typhoidal Salmonella in poultry meat and diarrhoeic patients: prevalence, antibiogram, virulotyping, molecular detection and sequencing of class I integrons in multidrug resistant strains",,10.1186/s13099-015-0081-1,True,,2015,,Springer Science and Business Media {LLC},False,,Rasha M. Gharieb and Yasmine H. Tartor and Mariam H. E. Khedr
Antimicrobial resistance of Campylobacter isolates from small scale and backyard chicken in Kenya,,10.1186/s13099-016-0121-5,True,Antimicrobial resistance of Campylobacter isolates from small scale and backyard chicken in Kenya.pdf,2016,,Springer Science and Business Media {LLC},True,SciHub,Tuan Ngoc Minh Nguyen and Helmut Hotzel and John Njeru and Joyce Mwituria and Hosny El-Adawy and Herbert Tomaso and Heinrich Neubauer and Hafez M. Hafez
Occurrence of Salmonella enterica and Escherichia coli in raw chicken and beef meat in northern Egypt and dissemination of their antibiotic resistance markers,,10.1186/s13099-017-0206-9,True,Occurrence of Salmonella enterica and Escherichia coli in raw chicken and beef meat in northern Egypt and dissemination of their antibiotic resistance markers.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Amira A. Moawad and Helmut Hotzel and Omnia Awad and Herbert Tomaso and Heinrich Neubauer and Hafez M. Hafez and Hosny El-Adawy
"Genotypic diversity, antimicrobial resistance and biofilm-forming abilities of Campylobacter isolated from chicken in Central China",,10.1186/s13099-017-0209-6,True,Genotypic diversity_ antimicrobial resistance and biofilm-forming abilities of Campylobacter isolated from chicken in Central China.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Tengfei Zhang and Jun Dong and Yiluo Cheng and Qin Lu and Qingping Luo and Guoyuan Wen and Guoping Liu and Huabin Shao
Antimicrobial resistance in Enterobacteriaceae from healthy broilers in Egypt: emergence of colistin-resistant and extended-spectrum β-lactamase-producing Escherichia coli,,10.1186/s13099-018-0266-5,True,,2018,,Springer Science and Business Media {LLC},False,,Amira A. Moawad and Helmut Hotzel and Heinrich Neubauer and Ralf Ehricht and Stefan Monecke and Herbert Tomaso and Hafez M. Hafez and Uwe Roesler and Hosny El-Adawy
"Prevalence and antimicrobial resistance profile of Staphylococcus in dairy farms, abattoir and humans in Addis Ababa, Ethiopia",,10.1186/s13104-017-2487-y,True,Prevalence and antimicrobial resistance profile of Staphylococcus in dairy farms_ abattoir and humans in Addis Ababa_ Ethiopia.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Takele Beyene and Halefom Hayishe and Fikru Gizaw and Ashenafi Feyisa Beyi and Fufa Abunna and Bedaso Mammo and Dinka Ayana and Hika Waktole and Reta Duguma Abdi
"Multi-drug resistance and extended spectrum beta lactamase producing Gram negative bacteria from chicken meat in Bharatpur Metropolitan, Nepal",,10.1186/s13104-017-2917-x,True,Multi-drug resistance and extended spectrum beta lactamase producing Gram negative bacteria from chicken meat in Bharatpur Metropolitan_ Nepal.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Anil Shrestha and Anup Muni Bajracharya and Hemraj Subedi and Raju Shah Turha and Sachin Kafle and Saroj Sharma and Sunil Neupane and Dhiraj Kumar Chaudhary
"Antibiotic susceptibilities of indicator bacteria Escherichia coli and Enterococci spp. isolated from ducks in Morogoro Municipality, Tanzania",,10.1186/s13104-018-3201-4,True,Antibiotic susceptibilities of indicator bacteria Escherichia coli and Enterococci spp. isolated from ducks in Morogoro Municipality_ Tanzania.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,Henry D. Kissinga and Festo Mwombeki and Khadija Said and Abdul A. S. Katakweba and Hezron E. Nonga and Amandus P. Muhairwa
Antimicrobial resistance profiles of Shiga toxin-producing Escherichia coli O157 and Non-O157 recovered from domestic farm animals in rural communities in Northwestern Mexico,,10.1186/s13756-015-0100-5,True,,2016,,Springer Science and Business Media {LLC},False,,Bianca A. Am{\'{e}}zquita-L{\'{o}}pez and Beatriz Qui{\~{n}}ones and Marcela Soto-Beltr{\'{a}}n and Bertram G. Lee and Jaszemyn C. Yambao and Ofelia Y. Lugo-Melchor and Crist{\'{o}}bal Chaidez
Genetic markers associated with resistance to beta-lactam and quinolone antimicrobials in non-typhoidal Salmonella isolates from humans and animals in central Ethiopia,,10.1186/s13756-017-0171-6,True,Genetic markers associated with resistance to beta-lactam and quinolone antimicrobials in non-typhoidal Salmonella isolates from humans and animals in central Ethiopia.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Tadesse Eguale and Josephine Birungi and Daniel Asrat and Moses N. Njahira and Joyce Njuguna and Wondwossen A. Gebreyes and John S. Gunn and Appolinaire Djikeng and Ephrem Engidawork
Antimicrobial use and antimicrobial susceptibility in Escherichia coli on small- and medium-scale pig farms in north-eastern Thailand,,10.1186/s13756-017-0233-9,True,Antimicrobial use and antimicrobial susceptibility in Escherichia coli on small- and medium-scale pig farms in north-eastern Thailand.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,G. Ström and M. Halje and D. Karlsson and J. Jiwakanon and M. Pringle and L.-L. Fernström and U. Magnusson
Antimicrobials in small-scale urban pig farming in a lower middle-income country – arbitrary use and high resistance levels,,10.1186/s13756-018-0328-y,True,Antimicrobials in small-scale urban pig farming in a lower middle-income country _ arbitrary use and high resistance levels.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,G. Ström and S. Boqvist and A. Albihn and L.-L. Fernström and A. Andersson Djurfeldt and S. Sokerya and T. Sothyra and U. Magnusson
"Occurrence and antimicrobial susceptibility profile of Escherichia coli O157:H7 from food of animal origin in Bishoftu town, Central Ethiopia",,10.1186/s40550-018-0064-3,True,Occurrence and antimicrobial susceptibility profile of Escherichia coli O157_H7 from food of animal origin in Bishoftu town_ Central Ethiopia.pdf,2018,,Springer Science and Business Media {LLC},True,SciHub,Segni Bedasa and Daniel Shiferaw and Ashebr Abraha and Tesfanesh Moges
"Prevalence and drug susceptibility pattern of Salmonella isolates from apparently healthy slaughter cattle and personnel working at the Jimma municipal abattoir, south-West Ethiopia",,10.1186/s40794-018-0072-6,True,,2018,,Springer Science and Business Media {LLC},False,,Samson Takele and Kifle Woldemichael and Mulatu Gashaw and Haimanot Tassew and Moti Yohannes and Alemseged Abdissa
"Detection and identification of antimicrobial-resistant Salmonella in raw beef at Wolaita Sodo municipal abattoir, Southern Ethiopia",,10.1186/s41043-017-0131-z,True,Detection and identification of antimicrobial-resistant Salmonella in raw beef at Wolaita Sodo municipal abattoir_ Southern Ethiopia.pdf,2017,,Springer Science and Business Media {LLC},True,SciHub,Wondimu Wabeto and Yishak Abraham and Antehun Alemayehu Anjulo
,,10.11979/idtm.201603002,False,,,,,False,,
,,10.11984/j.issn.1000-7083.20150099,False,,,,,False,,
"The Incidence, Antibiotic Resistance and Survival of Salmonella and Escherichia coli Isolated from Broiler Chicken Retail Outlets.",,10.1264/jsme2.2000.173,True,The Incidence_ Antibiotic Resistance and Survival of Salmonella and Escherichia coli Isolated from Broiler Chicken Retail Outlets..pdf,2000,,Japanese Society of Microbial Ecology,True,SciHub,T. SURESH and D. SRINIVASAN and A.A.M. HATHA and P. LAKSHMANAPERUMALSAMY
"Phenotypic characterization of extended-spectrum-beta‑lactamase producing E. coli from healthy individuals, patients, sewage sludge, cattle, chickens and raw meat",,10.12669/pjms.334.12647,True,Phenotypic characterization of extended-spectrum-beta_lactamase producing E. coli from healthy individuals_ patients_ sewage sludge_ cattle_ chickens and raw meat.pdf,2017,,Pakistan Journal of Medical Sciences,True,SciHub,Rabia Saleem and Hasan Ejaz and Aizza Zafar and Sonia Younas and Ahsan Waheed Rathore
Prevalence and Antibiotic Resistance of <i>Escherichia coli</i> O157:H7 Isolated from Raw Meat Samples of Ruminants and Poultry,,10.12691/jfnr-6-2-5,True,,2018,,"Science and Education Publishing Co., Ltd.",False,,Zohreh Mashak
,,10.12834/VetIt.1215.10,False,,,,,False,,
,,10.12834/VetIt.129.2187.1,False,,,,,False,,
,,10.12834/VetIt.1304.08,False,,,,,False,,
,,10.12834/VetIt.170.2543.1,False,,,,,False,,
,,10.12834/VetIt.330.1382.2,False,,,,,False,,
"The Prevalence of Extended-Spectrum Beta-Lactamase-Producing Multidrug-Resistant
            Escherichia Coli
            in Poultry Chickens and Variation According to Farming Practices in Punjab, India",,10.1289/EHP292,True,,2017,,Environmental Health Perspectives,False,,Charles H. Brower and Siddhartha Mandal and Shivdeep Hayer and Mandeep Sran and Asima Zehra and Sunny J. Patel and Ravneet Kaur and Leena Chatterjee and Savita Mishra and B.R. Das and Parminder Singh and Randhir Singh and J.P.S. Gill and Ramanan Laxminarayan
"Prevalence, Numbers and Antimicrobial Susceptibilities of Salmonella Serovars and Campylobacter spp. in Retail Poultry in Phnom Penh, Cambodia",,10.1292/jvms.10-0373,True,Prevalence_ Numbers and Antimicrobial Susceptibilities of Salmonella Serovars and Campylobacter spp. in Retail Poultry in Phnom Penh_ Cambodia.pdf,2011,,Japanese Society of Veterinary Science,True,SciHub,Kruy Sun LAY and Yith VUTHY and Ping SONG and Khem PHOL and Jean Louis SARTHOU
Antimicrobial Resistance of <i>Salmonella</i> Serovars Isolated from Beef at Retail Markets in the North Vietnam,,10.1292/jvms.12-0053,True,Antimicrobial Resistance of _i_Salmonella__i_ Serovars Isolated from Beef at Retail Markets in the North Vietnam.pdf,2012,,Japanese Society of Veterinary Science,True,SciHub,Truong Ha THAI and Takuya HIRAI and Nguyen Thi LAN and Akinori SHIMADA and Pham Thi NGOC and Ryoji YAMAGUCHI
"Salmonella Prevalence in Slaughtered Buffaloes and Pigs and Antimicrobial Susceptibility of Isolates in Vientiane, Lao People's Democratic Republic",,10.1292/jvms.70.1345,True,Salmonella Prevalence in Slaughtered Buffaloes and Pigs and Antimicrobial Susceptibility of Isolates in Vientiane_ Lao People_s Democratic Republic.pdf,2008,,Japanese Society of Veterinary Science,True,SciHub,Sumalee BOONMAR and Khanchana MARKVICHITR and Sujate CHAUNCHOM and Chantha CHANDA and Aroon BANGTRAKULNONTH and Srirat PORNRUNANGWONG and Shigeki YAMAMOTO and Daisuke SUZUKI and Kunihisa KOZAWA and Hirokazu KIMURA and Yukio MORITA
,,10.13040/IJPSR.0975-8232.7(9).3633-42,False,,,,,False,,
,,10.13140/RG.2.1.2597.2642,False,,,,,False,,
,,10.13140/RG.2.1.4170.1284,False,,,,,False,,
,,10.13304/j.nykjdb.2014.284,False,,,,,False,,
,,10.13304/j.nykjdb.2014.719,False,,,,,False,,
,,10.13304/j.nykjdb.2017.0064,False,,,,,False,,
,,10.13343/j.cnki.wsxb.20190140,False,,,,,False,,
,,10.13350/j.cjpb.140106,False,,,,,False,,
,,10.13386/j.issn1002-0306.2015.06.007,False,,,,,False,,
,,10.13515/j.cnki.hnjpm.2014.01.022,False,,,,,False,,
,,10.13557/j.cnki.issn1002-2813.2019.02.016,False,,,,,False,,
,,10.13560/j.cnki.biotech.bull.1985.2017-0743,False,,,,,False,,
,,10.13590/j.cjfh.2014.06.022,False,,,,,False,,
,,10.13590/j.cjfh.2016.06.006,False,,,,,False,,
,,10.13590/j.cjfh.2016.06.008,False,,,,,False,,
,,10.13590/j.cjfh.2017.03.022,False,,,,,False,,
,,10.13590/j.cjfh.2018.02.002,False,,,,,False,,
,,10.13590/j.cjfh.2018.05.003,False,,,,,False,,
,,10.13604/j.cnki.46-1064/r.2013.02.016,False,,,,,False,,
,,10.13604/j.cnki.46-1064/r.2013.09.021,False,,,,,False,,
,,10.13610/j.cnki.1672-352x.2013.04.031,False,,,,,False,,
,,10.13704/j.cnki.jyyx.2019.07.029,False,,,,,False,,
Quinolone Resistance in Absence of Selective Pressure: The Experience of a Very Remote Community in the Amazon Forest,,10.1371/journal.pntd.0001790,True,Quinolone Resistance in Absence of Selective Pressure_ The Experience of a Very Remote Community in the Amazon Forest.pdf,2012,,Public Library of Science ({PLoS}),True,SciHub,Lucia Pallecchi and Alessandro Bartoloni and Eleonora Riccobono and Connie Fernandez and Antonia Mantella and Donata Magnelli and Dario Mannini and Marianne Strohmeyer and Filippo Bartalesi and Hugo Rodriguez and Eduardo Gotuzzo and Gian Maria Rossolini
Methicillin-Resistant Staphylococcus aureus ST9 in Pigs in Thailand,,10.1371/journal.pone.0031245,True,Methicillin-Resistant Staphylococcus aureus ST9 in Pigs in Thailand.pdf,2012,,Public Library of Science ({PLoS}),True,SciHub,Jesper Larsen and Maho Imanishi and Soawapak Hinjoy and Prasit Tharavichitkul and Kwanjit Duangsong and Meghan F. Davis and Kenrad E. Nelson and Anders R. Larsen and Robert L. Skov
High Incidence of Oxacillin-Susceptible mecA-Positive Staphylococcus aureus (OS-MRSA) Associated with Bovine Mastitis in China,,10.1371/journal.pone.0088134,True,High Incidence of Oxacillin-Susceptible mecA-Positive Staphylococcus aureus _OS-MRSA_ Associated with Bovine Mastitis in China.pdf,2014,,Public Library of Science ({PLoS}),True,SciHub,WanXia Pu and Yang Su and JianXi Li and ChunHui Li and ZhiQiang Yang and HaiPing Deng and ChunXia Ni
Investigation of Antimicrobial Resistance in Escherichia coli and Enterococci Isolated from Tibetan Pigs,,10.1371/journal.pone.0095623,True,Investigation of Antimicrobial Resistance in Escherichia coli and Enterococci Isolated from Tibetan Pigs.pdf,2014,,Public Library of Science ({PLoS}),True,SciHub,Peng Li and Dongfang Wu and Kunyao Liu and Sizhu Suolang and Tao He and Xuan Liu and Congming Wu and Yang Wang and Degui Lin
Characterization of Multidrug-Resistant Salmonella enterica Serovars Indiana and Enteritidis from Chickens in Eastern China,,10.1371/journal.pone.0096050,True,Characterization of Multidrug-Resistant Salmonella enterica Serovars Indiana and Enteritidis from Chickens in Eastern China.pdf,2014,,Public Library of Science ({PLoS}),True,SciHub,Yan Lu and Hongyu Zhao and Jian Sun and Yuqi Liu and Xuping Zhou and Ross C. Beier and Guojuan Wu and Xiaolin Hou
"Prevalence and Characteristics of Extended-Spectrum β-Lactamase and Plasmid-Mediated Fluoroquinolone Resistance Genes in Escherichia coli Isolated from Chickens in Anhui Province, China",,10.1371/journal.pone.0104356,True,,2014,,Public Library of Science ({PLoS}),False,,Lin Li and Binting Wang and Shuai Feng and Jinnian Li and Congming Wu and Ying Wang and Xiangchun Ruan and Minghua Zeng
Beta-Lactamase Producing Escherichia coli Isolates in Imported and Locally Produced Chicken Meat from Ghana,,10.1371/journal.pone.0139706,True,Beta-Lactamase Producing Escherichia coli Isolates in Imported and Locally Produced Chicken Meat from Ghana.pdf,2015,,Public Library of Science ({PLoS}),True,SciHub,Mette Marie Rasmussen and Japheth A. Opintan and Niels Frimodt-M{\o}ller and Bjarne Styrishave
"Isolation, Biochemical and Molecular Identification, and In-Vitro Antimicrobial Resistance Patterns of Bacteria Isolated from Bubaline Subclinical Mastitis in South India",,10.1371/journal.pone.0142717,True,,2015,,Public Library of Science ({PLoS}),False,,P. L. Preethirani and Shrikrishna Isloor and S. Sundareshan and V. Nuthanalakshmi and K. Deepthikiran and Akhauri Y. Sinha and D. Rathnamma and K. Nithin Prabhu and R. Sharada and Trilochan K. Mukkur and Nagendra R. Hegde
"Isolation of Multidrug-Resistant Escherichia coli O157 from Goats in the Somali Region of Ethiopia: A Cross-Sectional, Abattoir-Based Study",,10.1371/journal.pone.0142905,True,Isolation of Multidrug-Resistant Escherichia coli O157 from Goats in the Somali Region of Ethiopia_ A Cross-Sectional_ Abattoir-Based Study.pdf,2015,,Public Library of Science ({PLoS}),True,SciHub,Fitsum Dulo and Aklilu Feleke and Barbara Szonyi and Reinhard Fries and Maximilian P. O. Baumann and Delia Grace
"Prevalence of Salmonella Isolates from Chicken and Pig Slaughterhouses and Emergence of Ciprofloxacin and Cefotaxime Co-Resistant S. enterica Serovar Indiana in Henan, China",,10.1371/journal.pone.0144532,True,,2015,,Public Library of Science ({PLoS}),False,,Li Bai and Ruiting Lan and Xiuli Zhang and Shenghui Cui and Jin Xu and Yunchang Guo and Fengqin Li and Ding Zhang
"Potential Sources and Transmission of Salmonella and Antimicrobial Resistance in Kampala, Uganda",,10.1371/journal.pone.0152130,True,Potential Sources and Transmission of Salmonella and Antimicrobial Resistance in Kampala_ Uganda.pdf,2016,,Public Library of Science ({PLoS}),True,SciHub,Josephine A. Afema and Denis K. Byarugaba and Devendra H. Shah and Esther Atukwase and Maria Nambi and William M. Sischo
Prevalence and Diversity of Salmonella Serotypes in Ecuadorian Broilers at Slaughter Age,,10.1371/journal.pone.0159567,True,Prevalence and Diversity of Salmonella Serotypes in Ecuadorian Broilers at Slaughter Age.pdf,2016,,Public Library of Science ({PLoS}),True,SciHub,Christian Vinueza-Burgos and Mar{\'{\i}}a Cevallos and Lenin Ron-Garrido and Sophie Bertrand and Lieven De Zutter
Prevalence and Characterization of Oxacillin Susceptible mecA-Positive Clinical Isolates of Staphylococcus aureus Causing Bovine Mastitis in India,,10.1371/journal.pone.0162256,True,Prevalence and Characterization of Oxacillin Susceptible mecA-Positive Clinical Isolates of Staphylococcus aureus Causing Bovine Mastitis in India.pdf,2016,,Public Library of Science ({PLoS}),True,SciHub,Hiral Mistry and Paresh Sharma and Sudipta Mahato and R. Saravanan and P. Anand Kumar and Vasundhra Bhandari
Characterisation of Commensal Escherichia coli Isolated from Apparently Healthy Cattle and Their Attendants in Tanzania,,10.1371/journal.pone.0168160,True,Characterisation of Commensal Escherichia coli Isolated from Apparently Healthy Cattle and Their Attendants in Tanzania.pdf,2016,,Public Library of Science ({PLoS}),True,SciHub,Balichene P. Madoshi and Egle Kudirkiene and Madundo M. A. Mtambo and Amandus P. Muhairwa and Athumani M. Lupindu and John E. Olsen
,,10.13881/j.cnki.Hljxmsy.2018.08.0272,False,,,,,False,,
,,10.13881/j.cnki.hljxmsy.2011.24.033,False,,,,,False,,
,,10.13881/j.cnki.hljxmsy.2014.1059,False,,,,,False,,
,,10.13881/j.cnki.hljxmsy.2016.0263,False,,,,,False,,
,,10.13881/j.cnki.hljxmsy.2017.03.0479,False,,,,,False,,
,,10.13881/j.cnki.hljxmsy.2018.08.0026,False,,,,,False,,
,,10.13982/j.mfst.1673-9078.2014.04.045,False,,,,,False,,
,,10.13982/j.mfst.1673-9078.2016.8.041,False,none.pdf,,,,True,SciHub,
,,10.13982/j.mfst.1673-9078.2017.9.039,False,,,,,False,,
,,10.13982/j.mfst.1673-9078.2019.5.038,False,,,,,False,,
,,10.13989/j.cnki.0517-6611.2014.06.004,False,,,,,False,,
,,10.14070/j.cnki.15-1150.2012.12.013,False,,,,,False,,
,,10.14083/j.issn.1001-4942.2014.09.041,False,,,,,False,,
,,10.14088/j.cnki.issn0439-8114.2012.21.007,False,,,,,False,,
,,10.14170/j.cnki.cn31-1278/s.2017.05.013,False,,,,,False,,
"Multi-drug resistance among Shiga toxin producing Escherichia coli isolated from bovines and their handlers in Jammu region, India",,10.14202/vetworld.2013.655-658,True,Multi-drug resistance among Shiga toxin producing Escherichia coli isolated from bovines and their handlers in Jammu region_ India.pdf,2013,,Veterinary World,True,SciHub,Majueeb U Rehman and Mohd Rashid and Javeed Ahmad Sheikh and Shakil Ahmad Wani and Shaheen Farooq
"Prevalence of methicillin-resistant Staphylococcus aureus in poultry meat in Qena, Egypt",,10.14202/vetworld.2013.711-715,True,Prevalence of methicillin-resistant Staphylococcus aureus in poultry meat in Qena_ Egypt.pdf,2013,,Veterinary World,True,SciHub,Mohamed Karmi
Pathomicrobial studies on Salmonella Gallinarum infection in broiler chickens,,10.14202/vetworld.2013.725-729,True,Pathomicrobial studies on Salmonella Gallinarum infection in broiler chickens.pdf,2013,,Veterinary World,True,SciHub,Divya Kumari and S.K. Mishra and Deepika Lather
"Isolation and antibiogram of Staphylococcus, Streptococcus and Escherichia coli isolates from clinical and subclinical cases of bovine mastitis",,10.14202/vetworld.2013.739-743,True,Isolation and antibiogram of Staphylococcus_ Streptococcus and Escherichia coli isolates from clinical and subclinical cases of bovine mastitis.pdf,2013,,Veterinary World,True,SciHub,Nihar Nalini Mohanty and Priyaranjan Das and Shaswati Subhadarsini Pany and Laxmi Narayan Sarangi and Siddharth Ranabijuli and Hemant Kumar Panda
Occurrence of multidrug resistance shiga-toxin producing Escherichia coli from milk and milk products,,10.14202/vetworld.2013.915-918,True,,2013,,Veterinary World,False,,Javeed Ahmad Sheikh and Mohd. Rashid and Majueeb U Rehman and M. A. Bhat
"Detection of extended-spectrum β-lactamases (blaCTX-M-1 and blaTEM) in Escherichia coli, Salmonella spp., and Klebsiella pneumoniae isolated from poultry in North Eastern India",,10.14202/vetworld.2014.1026-1031,True,,2014,,Veterinary World,False,,H. Lalzampuia and T. K. Dutta and Iadarilin Warjri and Rajesh Chandra
"Subclinical mastitis in machine milked dairy farms in Punjab: prevalence, distribution of bacteria and current antibiogram",,10.14202/vetworld.2014.291-294,True,,2014,,Veterinary World,False,,Abdul Q Mir and B. K. Bansal and D. K. Gupta
Pattern of antibiotic resistant mastitis in dairy cows,,10.14202/vetworld.2014.389-394,True,Pattern of antibiotic resistant mastitis in dairy cows.pdf,2014,,Veterinary World,True,SciHub,D. Chandrasekaran and P. Venkatesan and K. G. Tirumurugaan and A. P. Nambi and P. S. Thirunavukkarasu and K. Kumanan and S. Vairamuthu and S. Ramesh
Methicillin resistant staphylococci associated with bovine mastitis and their zoonotic importance,,10.14202/vetworld.2014.422-427,True,,2014,,Veterinary World,False,,S. Vishnupriya and P. X. Antony and H. K. Mukhopadhyay and R. M. Pillai and J. Thanislass and V. M. Vivek Srinivas and R. Sumanth Kumar
"Isolation and prevalence of Salmonella from chicken meat and cattle milk collected from local markets of Patna, India",,10.14202/vetworld.2014.62-65,True,Isolation and prevalence of Salmonella from chicken meat and cattle milk collected from local markets of Patna_ India.pdf,2014,,Veterinary World,True,SciHub,"Purushottam Kaushik and Anjay , and Savita Kumari and Sanjay Kumar Bharti and Shanker Dayal"
Detection of tetracycline resistance determinant tetA gene and antimicrobial resistance pattern in Escherichia coli isolates recovered from healthy layer chickens,,10.14202/vetworld.2014.635-638,True,,2014,,Veterinary World,False,,A. Balasubramaniam and M. Arthanari Eswaran and P. Suresh and K. Sukumar
Prevalence and antibiotic resistance pattern of Campylobacter species in foods of animal origin,,10.14202/vetworld.2014.681-684,True,,2014,,Veterinary World,False,,Pallavi and Ashok Kumar
Pathogens isolated from clinical mastitis in Murrah buffaloes and their antibiogram,,10.14202/vetworld.2014.980-985,True,,2014,,Veterinary World,False,,Gaurav Charaya and Anshu Sharma and Ashok Kumar and Mahavir Singh and Parveen Goel
"Prevalence and epidemiology of Salmonella enterica serovar Gallinarum from poultry in some parts of Haryana, India",,10.14202/vetworld.2015.1300-1304,True,,2015,,Veterinary World,False,,Devan Arora and Suresh Kumar and Naresh Jindal and Gulshan Narang and P. K. Kapoor and N. K. Mahajan
"Prevalence of antibiotic resistant Staphylococcus aureus from raw milk samples collected from the local vendors in the region of Tirupathi, India",,10.14202/vetworld.2015.478-481,True,,2015,,Veterinary World,False,,Sudhanthirakodi Sudhanthiramani and Chinta Siva Swetha and Sukumar Bharathy
"Isolation and molecular characterization of Salmonella spp. from chevon and chicken meat collected from different districts of Chhattisgarh, India",,10.14202/vetworld.2015.702-706,True,,2015,,Veterinary World,False,,V. K. Naik and S. Shakya and A. Patyal and N. E. Gade and  Bhoomika
Study of antimicrobial resistance due to extended spectrum betalactamase-producing Escherichia coli in healthy broilers of Jabalpur,,10.14202/vetworld.2016.1259-1263,True,,2016,,Veterinary World,False,,Arpita Shrivastav and R. K. Sharma and Y. P. Sahni and Neeraj Shrivastav and Vidhi Gautam and Sachin Jain
"Isolation, antibiogram and pathogenicity of Salmonella spp. Recovered from slaughtered food animals in Nagpur region of Central India",,10.14202/vetworld.2016.176-181,True,,2016,,Veterinary World,False,,D. G. Kalambhe and N. N. Zade and S. P. Chaudhari and S. V. Shinde and W. Khan and A. R. Patil
Prevalence and characterization of multi-drug resistant Salmonella Enterica serovar Gallinarum biovar Pullorum and Gallinarum from chicken,,10.14202/vetworld.2016.65-70,True,Prevalence and characterization of multi-drug resistant Salmonella Enterica serovar Gallinarum biovar Pullorum and Gallinarum from chicken.pdf,2016,,Veterinary World,True,SciHub,Md. Shafiullah Parvej and K. H. M. Nazmul Hussain Nazir and M. Bahanur Rahman and Mueena Jahan and Mohammad Ferdousur Rahman Khan and Marzia Rahman
Genetic characterization of fluoroquinolone-resistant Escherichia coli associated with bovine mastitis in India,,10.14202/vetworld.2016.705-709,True,,2016,,Veterinary World,False,,Sangeetha Balakrishnan and Prabhakar Xavier Antony and Hirak Kumar Mukhopadhyay and Raghavan Madhusoodanan Pillai and Jacob Thanislass and Vijayalakshmi Padmanaban and Mouttou Vivek Srinivas
"Occurrence and characteristics of extended-spectrum β-lactamases producing Escherichia coli in foods of animal origin and human clinical samples in Chhattisgarh, India",,10.14202/vetworld.2016.996-1000,True,Occurrence and characteristics of extended-spectrum β-lactamases producing Escherichia coli in foods of animal origin and human clinical samples in Chhattisgarh_ India.pdf,2016,,Veterinary World,True,SciHub,Bhoomika and Sanjay Shakya and Anil Patyal and Nitin Eknath Gade
Polymerase chain reaction detection of genes responsible for multiple antibiotic resistance Staphylococcus aureus isolated from food of animal origin in Egypt,,10.14202/vetworld.2017.1205-1211,True,Polymerase chain reaction detection of genes responsible for multiple antibiotic resistance Staphylococcus aureus isolated from food of animal origin in Egypt.pdf,2017,,Veterinary World,True,SciHub,Fawzy R. El Seedy and A. A. Samy and Hala S. H. Salam and Eman A. Khairy and Aya A. Koraney
